external_id,title,merchant,description,category
13530,5% back at Courtyard Restaurant & Pub,Courtyard Restaurant & Pub,"The Courtyard Cafe blends a popular indoor/outdoor year round contemporary restaurant, with the seashore ambiance of Cape Cod.  A varied American menu provides choices for everyone.",FOOD
23911,5% back at Jaipur,Jaipur,"Jaipur presents its Indian food in the direction of the family. Their building has dim lighting, and the atmosphere is casual. Though the menu is small, items like Vegetable Shashlik and Lamb Tikka center around the idea that delectable food quality occupies the minds of both chef and customer.",FOOD
14792,5% back at Blue Mermaid Island Grill,Blue Mermaid Island Grill,"The flavors of the Caribbean have been delighting diners at Blue Mermaid Island Grill since 1994. This is a cozy and welcoming eatery housed in downtown Portsmouth in a historic house that's more than 200 years old. Family-friendly, casual and always delicious, this is the place to go for lunch, dinner or Sunday brunch. There's always plenty of deliciousness to tempt you, but favorites include the Jamaican jerk chicken, guava-braised short ribs, New World paella, and the island shrimp pad Thai. There are soups, salads, sandwiches, grilled seafood, and plates both large and small, ensuring plenty of variety for everyone. And, to go with your meal, select from the eight craft brews on tap, or ask about signature cocktails. There's nothing like a tropical cocktail to go with your island-inspired meal! Get comfy any time at the bar, in the lounge or upstairs in the dining room, and when the weather is nice, the outdoor deck is perfect. There's more to love about Blue Mermaid, including live music on Fridays and Saturdays, along with kids-eat-free Sunday evenings; trivia on Mondays; $2 tacos and $3 quesadillas and margaritas on Tuesdays; Open Mic Night on Wednesdays; Thursday is service industry night and date night specials (ask for details); and Happy Hour specials are offered from 3-6 p.m. Sundays through Fridays. There's always something delicious AND fun happening at Blue Mermaid -- check out this iconic restaurant and bar today!",FOOD
6725,5% back at Trinity Brewhouse,Trinity Brewhouse,"Trinity Brewhouse serves American, ribs, burgers and steaks in a warm. Friendly ambiance, where every day there's a party. But above all, Trinity Brewhouse is serious about its beer. Trinity is a place for dining out, private parties and kegs. Trinity's beer is fresh-brewed right on the premises. Its staff will be happy to cater your party. Or check out the events in their downstairs Fennenteria. Or order a keg and have your own party.",FOOD
23584,5% back at Sheehan's On The Green,Sheehan's On The Green,"Located on Oasis Par-3Golf Course, Sheehans On The Green is a family style restaurant with large windows, bright lights, flowers on every table, comfortable seating and a relaxed and casual ambiance. They serve American cuisine with steak, chicken and seafood entrees. A wide selection of appetizers, salads, sandwiches, burgers, side dishes and desserts are listed on the menu. They have a full bar featuring domestic and imported liqueurs, liquors, wines and beers. Come visit on Wednesdays for My Trivia Live beginning at 8pm. Reservations are accepted for large groups only. ",FOOD
25730,5% back at Bobby Byrne's,Bobby Byrne's,"Bobby Byrne's pub is pub spelled with a capital P. In the great Celtic tradition of combining good brew, philosophy, and conversation, Bobby Byrne's promotes an atmosphere in which eating, dining, and talking, can potentially become art. That's the itinerary and good-spirited challenge. Along with a great pub atmosphere, Bobby Byrne's also offers American cuisine with a distinct Celtic flare.",FOOD
15454,5% back at Molly Maguires Pub & Steakhouse,Molly Maguires Pub & Steakhouse,"This restaurant is a <i>local's</i> favorite. In an ambience with a bar that resembles Irish pubs and restaurants, with dim lights in a cozy, casual and comfortable atmosphere, JT's Steak & Ale House serves American food. The menu brings appetizers, sandwiches, steaks, burgers, children options, soups and salads, in dinner and lunch meals.",FOOD
26445,5% back at Cafe Trio,Cafe Trio,"If you'd like to feel as though you are in the film Casablanca while dining in Kansas City, then try Papagallo. White linen elegance, plus a piano bar in a romantic setting. 'I'll always love ya, Baby...' And why not -- the world will always welcome lovers, and fine restaurants. Exceptional (award winning) Italian, American, Mediterranean and vegetarian entrees.  Papagallo is nominated for Oscars in cuisine, service and scene design.",FOOD
24250,5% back at Angelina's Spaghetti House,Angelina's Spaghetti House,"On December 27, 1976, Angelina's first opened its doors to the public. The concept for the restaurant evolved over many years based on the fine Genovese cooking handed down by Angelina. In 1913, Angelina, at the age of 18, left her northern province of Genova and traveled to San Francisco. Over the years Angelina cooked for the family ranch help and perfected her Genovese cooking. These recipes she then handed down to her family whose friends' enthusiasm over this distinct manner of cooking encouraged family members to open this fine restaurant.",FOOD
41440,5% back at Osteria IL Centro,Osteria IL Centro,"Osteria Il Centro won three and a half stars for its food, and won an award of excellence for its wines. It strives for a romantic effect with it dim lights and elegant interior. Visitors to the restaurant find it a good experience. You can always take out. The osteria has a bar. It has parking and wheelchair access.",FOOD
41441,5% back at Minsky's Pizza,Minsky's Pizza,"Minsky's Pizza started making pizza in Kansas City in the spring of 1976, and have now expanded to 6 different locations.  They built a reputation by using the finest ingredients available, including 100% Wisconsin mozzarella cheese that is cut fresh from the block. The dough is prepared fresh several times throughout the day, and they even have an extensive wine list to compliment your meal.  Minsky's also has a standard array of Italian appetizers, pasta dishes, and desserts.",FOOD
17755,5% back at Inner Bay Cafe & Grill,Inner Bay Cafe & Grill,"Up in the New England area it's like a world all of it's own, separated from everywhere else. The dialect, customs, attitude, fresh, clean air and mountainous terrain, one would truly believe it is. At Inner Bay Cafe & Grill there's an assortment of food to choose from, including American, Sandwiches and steaks. Served with the warmth that goes with the place.",FOOD
18959,5% back at Panino's Restaurant,Panino's Restaurant,"Panino's Restaurant has served the community of Colorado Springs for over 25 years. Currently there are three Colorado Springs locations, one restaurant in Ft. Collins, Colorado and three restaurants in the Twin Cities area in Minnesota. Over the years, the Famous Panino Sandwich has become an increasingly popular menu item: the North Oaks store in Minnesota now offers 37 different types of Paninos on their menu!",FOOD
22272,5% back at Senor Luna,Senor Luna,"Senor Luna offers quality original-recipe Mexican cuisine in a local cantina atmosphere.  A lively after-work crowd takes advantage of the pool table, darts and dice games.  Be careful, the portions are big.",FOOD
22248,5% back at Tara Thai,Tara Thai,"Have fun with the whole family while dining at Tara Thai Restaurant, where a wide selection of Thai appetizers, soups and entrees are available, together with a wide selection of vegetarian dishes.",FOOD
45354,5% back at Heberts Restaurant,Heberts Restaurant,"Herbert's Restaurant exists as three dining spaces under one roof.  Start out in the dining room, a warm and friendly place to share great New England seafood dishes while enjoying a selection of fantastic wine.  There is also a 50s-style diner with counter and table-service where you can grab a juicy and delicious burger and a pub offering full bar and food service with a great selection of beer and tons of fun activities like darts and karaoke nights.  But Herbert's seafood-filled menu is what this place is really all about. Wherever it mentions stuffing, you will find a decadent scallop-shrimp-crab-Ritz cracker-parmesan-white wine blend that shows up in everything from mushroom appetizers and baked entrees of fish, lobster and chicken to on top of oyster-cheddar cheese pie.  Fried fish, scallops, shrimp, clams and oysters come separately in baskets with fries or in a combination platter, and some great pastas are tossed with shellfish in an alfredo sauce.",FOOD
45506,5% back at 26 Beach Restaurant,26 Beach Restaurant,"Just wait till you get a peak at what's between the buns here! Only 100% Angus Beef Patties that LA MAGAZINE has named Best Burgers in L.A. What's more, 26 Beach has been rated tops by ZAGAT for the past 23 years, while the restaurant has garnered additional kudos from the LOS ANGELES TIMES, LA WEEKLY, LA STYLE, ELMER DILLS, MERRILL SCHINDLER, the HERALD EXAMINER and SANTA MONICA MIRROR. Located in Venice, the setting here is every bit as luscious as the food-and-wine pairings. Inside is an intimate dining room that seats 32 guests, while outside is a heated garden patio with a retractable roof that lets the sunshine in and keeps the bad weather out. It's the perfect environment in which to enjoy New American fare that infuses familiar comfort foods with creative global elements, always incorporating a fresh California spin. Executive Chef/Owner Francis Mori is legendary for his inventive takes on Craftsman Burgers served on house-baked buns. But his Nu' Awlins Chicken Gumbo and Mykonos Lamb Chopped Salad are no less divine. The Grilled Wild Salmon Pasta and Chicken Curry Linguine are pure ambrosia. And, of course, the Dover Sole Fish & Chips and Red Chile Pork Chops are just as scrumptious. Stop in for lunch, dinner or brunch starting at 9 a.m. Saturday and Sunday. PRIVATE PARTIES WELCOME.",FOOD
48114,5% back at Black Mountain Grill,Black Mountain Grill,"Black Mountain Grill serves up an eclectic menu with delightful Pacific Rim/Fusion cuisines, wood-fired pizzas, pastas, juicy steaks, ribs, and even pancetta-wrapped prawns in a Thai BBQ sauce are just some of the delicious items to choose from. Feast in either of two large dining rooms, at outdoor tables, or in the sequestered loft. An island bar with lounge and deep leather chairs add another alternative to where you might spend say part of 24 hours. ",FOOD
48389,5% back at Press Box,Press Box,"The Press Box is Tampa's favorite place to watch the big game and party. They show all NFL games with five big screens and 23 screens total. If you want to see a sporting event taking place in North America (and some beyond), you can see it there.  Tampa's top sports personalities have been coming to The Press Box for years. When you stop by, you never know which of your favorite sports celebrities you may run into!  For example, every Tuesday there is a different member of the Tampa Bay Buccaneers making an appearance between 6-9 p.m.  Serving the area for over 20 years, The Press Box has added NFL Sunday Ticket, ESPN Game Plan (college football), NHL Center Ice, NBA League Pass, ESPN Full Court Press, MLS/ESPN Shootout, WNBA Season Pass and even WWE pay-per-views to the viewing repertoire.  Enjoy juicy wings, burger mania, give-a-ways, prizes, drinks and beer specials.  If you have a big event, let them make it a home run with on- or off-premises catering!",FOOD
20722,5% back at Asia Kitchen,Asia Kitchen,"Asian Kitchen warmly extends an invitation to Visit Thailand right here in San Antonio. You'll also find yourself visiting China, Japan and other Far Eastern destinations thanks to the wide-ranging and superbly prepared menu at this award winning eatery. This restaurant won the San Antonio Express-News Reader's Choice award for Best Asian Restaurant in San Antonio in 2011. Raved GAYOT.COM, We frequently begin with the unusual fried beef jerky and can always be tempted by a crunchy, green papaya salad. The green curry is creamy with coconut milk and smoky with eggplant. And the hot and sour tom kai, a soup featuring (optional) shrimp and Thai basil, is first-rate; have it with coconut juice for a cool contrast... Meanwhile, enamored locals have had similarly effusive kudos: Y U M!!! I live on the far east side of town and will drive all the way to Marbach just to eat lunch/dinner at Asian Kitchen. I love the Phad Thai, and the Yellow Curry with potatoes is to die for. I also love that the hot is hot, but you can also get dishes without any heat! Lunch specials are very, very affordable and are sizable as well. The staff is always very busy but extremely friendly. They know the menu and just about everything on it. The owner comes around and seems eager to please. This is an amazing family-owned business. Start with the cheese rolls and end with the mango ice cream and sweet rice. BEST THAI FOOD IN THE CITY!!! So there you have it. When it comes to the flavors of Asia, you can't do better than this. ",FOOD
50672,5% back at Dave's Last Resort & Raw Bar,Dave's Last Resort & Raw Bar,"Dave's Last Resort & Raw Bar is a bar with an apparel shop, as well as a Raw Bar. It's also a restaurant with an eye for the unique that serves a variety of foods, including American, Ribs, Seafood, and Steaks. It offers imaginative lunch and dinner specials. Some examples of dinner specials are: Dolphin & Shrimp Picatta with pasta salad, Chicken Marsala with pasta, and Blackened Shrimp & Scallops with mango slaw. Smoking permitted.",FOOD
21141,5% back at Johnny Rockets,Johnny Rockets,"Johnny Rockets is an international restaurant chain that provides the food, fun and friendliness reminiscent of feel-good Americana. They offer their guests friendly service and great food in a fun and nostalgic atmosphere. Every original Johnny Rockets restaurant boasts great tasting food from a menu of favorites including juicy hamburgers, classic sandwiches and hand-dipped shakes and malts. Guests can also enjoy an all-American look and feel, servers who know the secret behind getting ketchup out of the bottle, tabletop jukeboxes and authentic décor. This location is in Garden City, New York, right in the heart of Long Island's well known, three-floored Roosevelt Field Shopping Mall.",FOOD
22923,5% back at Mama Louisa's Italian Restaurant,Mama Louisa's Italian Restaurant,"Open since 1956, Mama Louisa's Italian Restaurant features Italian and seafood entrees that welcome the yuppies, the kids, and the romantic dinner-seekers who love a casual atmosphere! This family-owned and operated restaurant features delicious, homemade pasta as well as their own freshly made daily Italian specials with the all you can eat soup, salad and pasta special served Mondays through Saturdays, from 11am to 2pm. With such fabulous food and friendly service, it's no wonder Mama Louisa's was the 2012 Bronze Winner for Best Italian Restaurant from Tucson Lifestyle magazine. A full-service bar and off-premise catering are also available.  For a nice evening out with your family, friends, or just people watching, Mama Louisa's is the place to be!",FOOD
22950,5% back at Sam's No. 3,Sam's No. 3,"Sam's No. 3 is a diner-style restaurant that offers a mix of Greek, American and Mexican fare. The central feature of the economical menu, however, is a generations-old, secret family recipe for red Coney Island chili, a heatless (not too spicy), gravy-like chili that is made with finely ground beef and comes either with or without beans. A critic with the Rocky Mountain News said it was addictive and intriguing and seemed to go well poured on everything except dessert.  Included on the menu are chili cheese fries, chile rellenos, tacos, burritos and enchiladas, soups, salads, sandwiches (including gyros and souvlaki) hamburgers, chicken fried steak and meatloaf. One of the restaurant's specialties is the Haystack, a concoction of Fritos layered with cheese, lettuce and tomato and smothered in chili, jalapenos and pinto beans. Another specialty is the restaurant's rice pudding. Breakfast, lunch and dinner are served, but breakfast can be ordered any time during the day. ",FOOD
45077,5% back at Minsky's Pizza,Minsky's Pizza,"Minksy's Pizza is a local favorite for all ages.  Pizzas are made fresh to order, and if you're not in the mood for pizza, you can order a host of other Italian specialties.  The atmosphere is casual as well as family-friendly.  If you want to beat the crowds arrive early.",FOOD
44926,5% back at Jesse's Steak & Seafood,Jesse's Steak & Seafood,"Jesse's Steak & Seafood is a family style restaurant with a casual ambiance, large windows, hanging plants, amber colored walls, booths and tables. They serve a hearty American cuisine with an emphasis on seafood, with beef, chicken, steak and ribs entrees. A wide selection of appetizers, soups, chowders, salads, side dishes and desserts complete the menu. There is an extensive wine list featuring domestic and imported selections.",FOOD
45935,5% back at Timbers Steakhouse & Seafood,Timbers Steakhouse & Seafood,"Timbers Casual Dining & Lounge is just that.  Family friendly dining including breakfast, lunch and dinner every day but Monday. Guaranteed hearty portions.  Timber's loves to get lavish on the burgers, steaks and seafood.  Atmosphere is definitively casual -- come as you are, or feel. Free parking, scrumptious salad bar, and they even have darts.",FOOD
49290,5% back at Harry's Steakhouse,Harry's Steakhouse,"Harry's Steakhouse has been around for almost 20 years, offering high quality steaks and chops at an affordable price. They also have an excellent dessert and appetizer list that is perfect for the choosy diner.",FOOD
49113,5% back at Golden Wok,Golden Wok,"Golden Wok is one of the most respected Chinese eateries in the western suburbs.  Golden Wok's food is predominately Cantonese, though several of the offerings venture into Mandarin, Hunan, and Szechwan territory. Whatever you order, you can have it your way.",FOOD
46114,5% back at Johnny's Hideaway,Johnny's Hideaway,"Tucked away in upscale Roswell, Johnny's Hideaway offers fine dining, dancing, and entertainment. Take a trip down memory lane and eat in the King's Corner. An area of the club covered with memorabilia from the career of Elvis Presley, or have your meal served in the Sinatra Room. A room with Sinatra memorabilia. Johnny's offers a full menu, appetizers such as calamari and buffalo shrimp to dinner entrees such as pasta primavera or filet mignon.",FOOD
61378,5% back at Olde Tymes Restaurant,Olde Tymes Restaurant,"Olde Tymes restaurant is a casual family-style restaurant. The decor is rustic and inviting with amber wood tables and yellow walls. The ambiance is relaxed and homey and they serve American cuisine. There is a beer and wine list featuring domestic and imported selections. They offer both a kids' menu and a senior menu, takeout and offsite catering.",FOOD
51063,5% back at Taormina Trattoria,Taormina Trattoria,"Soft music, white tablecloths and dim lighting create a cozy and romantic atmosphere at Taormina Restaurant. They serve an Italian cuisine with an emphasis on seafood, with steak, chicken and veal entrees. Appetizers, soups, salads, pasta, sandwiches, pizza and desserts complete the menu. There is a wine and beer list featuring domestic and imported selections. They offer catering and on-site parties. Take-out available.",FOOD
61111,5% back at Poe's Pub,Poe's Pub,"If great food, drink and music sound like a winning combination, head for Poe's Pub pronto! Located in Richmond's historic Shockoe Bottom, this funky restaurant and bar plays host to folks of every social and economic strata. That's because all who enter find common ground over Poe's huge selection of beers and fresh, made-to-order grub that's primo by anybody's standards. The appetizers alone are worth a trip, especially Poe's Pub Chili, pulled pork BBQ Bites, and Nachos With the Works. Moving right along, the roster also includes sandwiches on fresh-baked bread, with the Catfish Sub, Crab Cake Sandwich, and Triple-Decker Poe's Wheel (pastrami, ham, Swiss, cheddar, coleslaw, thousand island) taking top honors. But hold the phone! You'd be doing yourself an injustice if you overlooked the half-pound Angus Burgers, Baby Back Ribs and North Carolina-style BBQ Pork. Rounding out the menu is the best in blues, rock, country, alternative, bluegrass, zydeco and R&B. So be sure to check the entertainment schedule for upcoming shows.",FOOD
54632,5% back at Time Out West Sports Pub,Time Out West Sports Pub,"Timeout West Sports Pub is the All-American fun place to eat drink and be merry! The atmosphere welcomes the party-crew and the sports fans! The festive energy is infused throughout the main dining area and makes patrons want to stick around for the food! Steaks and club sandwiches are served hot and fresh. The ambiance is fun and lively, welcoming the sport enthusiast and party guests.",FOOD
51065,5% back at Inka Mama's,Inka Mama's,"Located near Foothill Ranch Elementary School and Borrego Park, Inka Mama's restaurant offers unique traditional Peruvian cuisine in a casual setting. The decor is festive with music and bright lights. Relax and enjoy South American fare in a fun atmosphere. Entrees include: chicken, beef, vegetarian, and seafood. Soups, salads, and desserts are listed on the menu.",FOOD
54638,5% back at Ms. Piggies' Smokehouse,Ms. Piggies' Smokehouse,"Smoky treats are the menu's mainstay at Ms. Piggie's Smokehouse. Home style BBQ ribs simply melt in your mouth and leave diners licking their fingers again and again. The grill specials include, juicy burgers and hearty steaks. Side orders are served in heaping portions and satisfy any sized hunger. The rustic ambiance is casual and welcomes families and friends.",FOOD
62595,5% back at Blue Finn Grill & Sushi,Blue Finn Grill & Sushi,"Awarded a top 4-star rating for both food and value, the TIMES HERALD called Blue Finn a real find and a credit to chef and owner Peter Kim. The critic continued, If sushi is your thing, Blue Finn has a wonderful selection.... The menu is an original combination of regional American and Asian cuisines, all based in solid French techniques... A Culinary Institute of America graduate, Chef Kim's menu does, indeed, represent the perfect marriage of classical training and Far Eastern culinary tradition. The restaurant is a study in simplicity and comfort, with a sushi bar, well-spaced dining tables, and a cozy cocktail bar that's fully-stocked with wines, beers and premium spirits. But it's the creative menu that takes center stage, offering such cross-cultural options as Chipotle BBQ Chicken Quesadillas with Asian Guacamole and Salsa, Fried Tofu and Flame Roasted Red Pepper Napoleon, Korean Chili Paste Pork Chops, and Chinese Five-Spiced Grilled Chicken. P.S. Don't let the affordable pricing fool you. This is strictly gourmet fare.",FOOD
