id,external_id,title,merchant,description,category
10732,159067,5% back at Frank Anthony's Italian Restau,Frank Anthony's Italian Restaurant,"A welcoming family restaurant, Frank Anthony's Italian Restaurant offers delicious gourmet Italian favorites created with the best ingredients and time-honored recipes. Here you'll find helpful servers providing a great atmosphere that will have you coming back again and again. Frank Anthony's also offers full service fine catering and hosts private events. ",FOOD
10733,158962,5% back at Fresh & Meaty Burgers Carson,Fresh & Meaty Burgers Carson,"Known for amazingly good burgers, Fresh & Meaty Burgers is all about perfecting the art of the humble hamburger. Starting with the very best quality ingredients, every made-to-order burgers is fresh, juicy, and topped just how you like it. There are breakfast picks and daily specials to ask about at this gem, so check it out today! ",FOOD
10734,158697,5% back at Ikko II Japanese Steak House,Ikko II Japanese Steak House,"Check out the fabulous selection of authentic and oh-so delicious Japanese dishes today at Ikko II Japanese Steak House. There's plenty to try at this popular pick, including lunch specials, hand-crafed sushi made with just-from-the-water fish and seafood, and of course, their popular hibachi meals. With something for everyone, stop by today!",FOOD
10735,158581,5% back at Marco's Pizza,Marco's Pizza,"When you're craving amazing pizza made from high quality ingredients then Marco's Pizza is the place for you. With multiple locations offering a mix of dine in, delivery, and takeout, you're all set to enjoy delicious, mouthwatering pizzas and other tasty fare -- from chicken wings to crisp salads to freshly baked subs, no matter where you are!",FOOD
10736,159084,5% back at Monterey Halal Market,Monterey Halal Market,"Monterey Halal Market is a convenient and quick stop whenever you need to fill up on something fabulous. With plenty of picks for breakfast, lunch, and dinner, this market and casual eatery is open all day so that you can fill up on tasty eats. From grabbing a quick snack to getting a hearty meal, you can get what you want at this gem! ",FOOD
10737,158960,5% back at Soulshine Pizza Factory Franklin,Soulshine Pizza Factory Franklin,"Soulshine Pizza Factory offers a terrific variety of freshly prepared dishes that always hit the spot. From their made-to-order pizzas and calzones to oven-roasted sandwiches and cool crisp salads, there's plenty to tempt you. There are pastas and Southern favorites, too, and with a lively ambiance, dining here is always fabulous!",FOOD
10738,158582,5% back at Ploy Thai Cuisine,Ploy Thai Cuisine,"Ploy Thai Cuisine is an award-winning family friendly eatery where hand-crafted and authentic Thai food is all the rage. In addition to pad Thai, pineapple fried rice, and flavorful curries, you'll also find a selection of lighter picks. Be sure to ask about the lunch specials, too, and enjoy your meal at this casual eatery.",FOOD
10739,159026,5% back at Smokey D'Z BBQ & Catering,Smokey D'Z BBQ & Catering,"Home of the backyard BBQ, Smokey D'Z BBQ & Catering is the perfect place to enjoy all your favorite cooked low-and-slow flavors. Famous for their Cake Daddy Cake Bowls and specializing in tender, juicy, hickory-wood smoked barbecue, there's plenty here to tempt you. Pulled pork, brisket, ribs, chicken, and links--they do it all at this eatery!",FOOD
10740,158650,5% back at Al Pastor,Al Pastor,"Al Pastor is a family-friendly Mexican eatery with a reputation for good food, good service, and good prices. With a diverse selection of cooked-to-order meals, you can stop by and fill up on enchiladas, pollo en mole, tacos, and much more. Happy Hour specials are offered weekdays from 5-8 p.m., and there's a full bar here, too.",FOOD
10741,157980,5% back at Tailgaters Sports Bar & Grill,Tailgaters Sports Bar & Grill,"Get ready for some fun because it's always lively and friendly at Tailgaters Sports Bar & Grill. Take a timeout for a good time at this popular spot that hits homeruns with the food, drinks, and entertainment. Stop by for a meal, go on game day and cheer on your team, or check out the lineup of live music at this vibrant eatery and drinkery!",FOOD
10742,157974,5% back at Outback Steakhouse,Outback Steakhouse,"Known for a terrific variety of tasty eats, unbeatable steaks, and great prices, this Australian-inspired steakhouse is a must-try. You'll find a warm and welcoming environment here, but go hungry, because the portions are generous and the prices are just right. Plus, it's all made from the freshest and finest ingredients, so that you can dine Aussie-style tonight!",FOOD
10743,157951,5% back at Bub's Byron,Bub's Byron,"With hot slots and cold beers, Bub's Byron is a lively, casual, and friendly spot to enjoy a refreshing drink and a fun time out. Open daily, this is a terrific place to enjoy an after-work drink, to meet friends on game day, or to enjoy a night out with someone special. The bar is fully loaded, and you can bring your favorite eats in with you.",FOOD
10744,159127,5% back at Tropicana Ice Cream,Tropicana Ice Cream,"Enjoy the sweet and fabulous flavors from the heart of Mexico today at Tropicana Ice Cream. Serving hand-made and truly authentic ice cream in a family-friendly ice cream parlor, there's something to tempt everyone here. Paletas, ice cream, fresh fruit mangonados, drinks, snow cones, shakes and more are all hand-crafted to-order here.",FOOD
10745,159006,5% back at Himchuli Indian & Nepali Cuisine,Himchuli Indian & Nepali Cuisine,"Discover the flavor of authentic Nepalese cuisine today at Himchuli Indian & Nepali Cuisine. This casual and family friendly eatery has been dishing up delicious eats since 2016. With a diverse menu, you can go for all your favorites or try something new. There are vegan and gluten-free options at this popular eatery, too. ",FOOD
10746,159239,5% back at Fresh Eats Cafe,Fresh Eats Cafe,"Hand-crafting delicious fare from local ingredients, Fresh Eats Cafe is a tasty spot to enjoy a great meal out. Blending Middle Eastern dishes with American favorites, there's plenty to try at this casual and inviting eatery. Their succulent roasted chicken, a fresh juice bar, and savory specialty dishes are all popular picks.",FOOD
10747,159164,5% back at Snarf's Sandwiches,Snarf's Sandwiches,"Satisfy your cravings for oven-toasted goodness at Snarf's Sandwiches. Imagine freshly crafted sandwiches loaded with fresh, premium meats and cheeses, crisp veggies, and more. There are plenty to pick from on the menu, plus fresh salads, soups, vegetarian options, kids picks, desserts, and more. Craving something fresh? Check out Snarf's today!",FOOD
10748,158102,5% back at NOA Bistro & Cafe,NOA Bistro & Cafe,"NOA Bistro & Cafe is a community focused eatery and drinkery that offers nutritious, simple, and delicious eats plus excellent drinks and coffees. Featuring hand-crafted Peruvian dishes like their famous lomo saltado bowl plus French-inspired picks, there's plenty to tempt you. Enjoy the greenery-filled dining room at this popular spot.",FOOD
10749,158015,5% back at The Halal Guys,The Halal Guys,"The Halal Guys have been dishing up tasty and authentic American halal dishes since 1990. There's lots to love here, including chicken platters or sandwiches, meaty gyros, falafel platters, and plenty of delish sides. All crafted from the very best ingredients, every visit is a flavorful one! Also call to inquire about catering options.",FOOD
10750,159043,5% back at Habaneros Fresh Mex Cantina,Habaneros Fresh Mex Cantina,"It's always a fiesta at Habanero's Fresh Mex Cantina. This is a lively family friendly place where hand-crafted Mexican fare is always made from the finest ingredients. Go hungry and feast on ceviche, tacos, sizzling fajitas, saucy enchiladas, and so much more. There are desserts, too, and you can wash it all down with a drink from the full bar.",FOOD
10751,158273,5% back at NORMS Restaurants - Rialto,NORMS Restaurants - Rialto," In 1949 NORMS Restaurants opened its doors, and 72 years later they are still serving up great food, friendly service, and excellent value. This iconic Southern California institution offers guests a robust menu, featuring an array of breakfast, lunch, and dinner classics available all day, every day! To find the nearest location near you, visit <a href=""https://www.norms.com/"">www.norms.com</a>",FOOD
